Rank,Player,Pts,Years,Tm
1,Adam Vinatieri,238,1996-2019,2TM
2,Stephen Gostkowski,212,2006-2020,2TM
3,Harrison Butker,175,2017-2024,kan
,David Akers,175,1998-2013,2TM
5,Mason Crosby,163,2007-2023,gnb
6,Gary Anderson,153,1982-2004,5TM
7,Jerry Rice+,132,1985-2004,3TM
8,Robbie Gould,126,2005-2022,3TM
,Emmitt Smith+,126,1990-2004,dal
,Thurman Thomas+,126,1988-2000,buf
11,Travis Kelce,120,2013-2024,kan
12,George Blanda+,115,1949-1975,3TM
13,Jake Elliott,114,2017-2024,phi
14,Matt Stover,106,1991-2009,3TM
15,Matt Bahr,103,1979-1995,4TM
16,Franco Harris+,102,1972-1984,pit
17,Stephen Hauschka,100,2008-2020,3TM
18,Justin Tucker,99,2012-2024,rav
19,Steve Christie,97,1990-2004,buf
20,John Kasay,96,1991-2011,2TM
21,Rafael Septien,95,1977-1986,2TM
22,Norm Johnson,94,1982-1999,3TM
23,Jason Elam,90,1993-2009,2TM
,Rob Gronkowski,90,2010-2021,2TM
25,Tyler Bass,87,2020-2024,buf
Rank,Player,Pts,Years,Tm
26,Jeff Wilkins,86,1994-2007,2TM
,Toni Fritsch,86,1971-1982,2TM
28,Ryan Longwell,85,1997-2012,3TM
,Jeff Reed,85,2002-2010,pit
30,Chris Jacke,84,1989-1999,2TM
31,Lou Groza+,83,1946-1967,cle
32,Roy Gerela,82,1969-1979,2TM
,Mark Moseley,82,1970-1986,2TM
34,Marcus Allen+,78,1982-1997,2TM
,Chris Bahr,78,1976-1989,rai
,Mike Cofer,78,1987-1995,sfo
37,Morten Andersen+,77,1982-2007,4TM
38,Josh Brown,76,2003-2016,2TM
,Ryan Succop,76,2009-2022,3TM
40,Matt Bryant,75,2002-2019,3TM
,Tony Franklin,75,1979-1988,2TM
42,Kevin Butler,74,1985-1997,chi
,Terrell Davis+,74,1995-2001,den
44,Antonio Freeman,72,1995-2003,2TM
,Marshawn Lynch,72,2007-2019,sea
,John Riggins+,72,1971-1985,was
,John Stallworth+,72,1974-1987,pit
,Ricky Watters,72,1992-2001,3TM
49,Fred Cox,71,1963-1977,min
50,Chris Boswell,70,2015-2024,pit
,Mike Hollis,70,1995-2002,jax
,Eddie Murray,70,1980-2000,3TM
