Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Down & Yards to Go,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1st & 10,13338,10.00,5.73,7110,32645,4.6,64,811,4039,5915,68.3,45675,7.7,135,118,312,1783,90.5,6.9,All 2024 plays with 1st & 10 yds to go
1st & >10,628,17.32,5.29,209,943,4.5,1,7,274,395,69.4,2540,6.4,7,8,24,31,84.2,5.5,All 2024 plays with 1st & >10 yds to go
1st & <10,969,4.82,2.27,657,1363,2.1,173,192,166,300,55.3,880,2.9,96,4,12,112,94.7,8.4,All 2024 plays with 1st & <10 yds to go
2nd & 1-4,1851,2.01,4.36,1181,4364,3.7,103,737,428,630,67.9,3958,6.3,59,11,40,384,108.8,6.9,All 2024 plays with 2nd & 1-4 yds to go
2nd & 4-6,2589,5.09,5.30,1275,5826,4.6,41,420,816,1246,65.5,8297,6.7,79,22,68,596,98.2,6.8,All 2024 plays with 2nd & 4-6 yds to go
2nd & 7-9,2805,7.92,5.65,998,5023,5.0,15,227,1130,1671,67.6,11654,7.0,63,29,136,583,92.8,6.4,All 2024 plays with 2nd & 7-9 yds to go
2nd & 10+,3983,12.14,5.95,1189,5722,4.8,13,143,1812,2633,68.8,19034,7.2,65,60,160,597,88.3,6.3,All 2024 plays with 2nd & 10+ yds to go
3rd & 1-4,1978,1.88,4.10,1029,3652,3.5,66,699,512,866,59.1,5021,5.8,66,21,83,474,90.8,5.7,All 2024 plays with 3rd & 1-4 yds to go
3rd & 4-6,1722,4.98,5.52,242,1312,5.4,11,119,786,1327,59.2,9285,7.0,95,24,153,651,96.9,6.8,All 2024 plays with 3rd & 4-6 yds to go
3rd & 7-9,1305,7.92,5.86,171,1131,6.6,3,63,574,1009,56.9,7404,7.3,57,31,125,388,86.1,6.3,All 2024 plays with 3rd & 7-9 yds to go
3rd & 10+,1877,13.79,5.97,316,2027,6.4,3,41,851,1393,61.1,10443,7.5,39,42,168,293,81.0,6.0,All 2024 plays with 3rd & 10+ yds to go
4th & 1-4,512,1.61,4.41,281,937,3.3,17,206,140,211,66.4,1444,6.8,34,4,20,132,117.6,8.4,All 2024 plays with 4th & 1-4 yds to go
4th & 4-6,124,4.75,6.47,14,107,7.6,1,11,57,107,53.3,711,6.6,9,4,3,48,86.6,6.5,All 2024 plays with 4th & 4-6 yds to go
4th & 7-9,53,7.75,4.53,7,26,3.7,0,2,20,42,47.6,243,5.8,2,2,4,14,61.9,4.2,All 2024 plays with 4th & 7-9 yds to go
4th & 10+,77,13.48,6.13,5,95,19.0,0,4,24,66,36.4,435,6.6,3,7,6,18,35.4,2.5,All 2024 plays with 4th & 10+ yds to go
3rd/4th & short,2490,1.82,4.17,1310,4589,3.5,83,905,652,1077,60.5,6465,6.0,100,25,103,606,98.8,6.2,All 2024 plays with 3rd/4th & short yds to go
