Year,Coach,Tm
2024,Kevin O'Connell,Minnesota Vikings
2023,Dan Campbell,Detroit Lions
2022,Sean McDermott,Buffalo Bills
2021,Mike Vrabel,Tennessee Titans
2020,Kevin Stefanski,Cleveland Browns
2019,Kyle Shanahan,San Francisco 49ers
2018,Andy Reid,Kansas City Chiefs
2017,Sean McVay,Los Angeles Rams
2016,Jason Garrett,Dallas Cowboys
2015,Ron Rivera,Carolina Panthers
2014,Bruce Arians,Arizona Cardinals
2013,Ron Rivera,Carolina Panthers
2012,Mike Smith,Atlanta Falcons
2011,Jim Harbaugh,San Francisco 49ers
2010,Mike Smith,Atlanta Falcons
2009,Sean Payton,New Orleans Saints
2008,Mike Smith,Atlanta Falcons
2007,Bill Belichick,New England Patriots
2006,Sean Payton,New Orleans Saints
2005,Tony Dungy,Indianapolis Colts
2004,Bill Cowher,Pittsburgh Steelers
2003,Bill Belichick,New England Patriots
2002,Andy Reid,Philadelphia Eagles
2001,Dick Jauron,Chicago Bears
2000,Andy Reid,Philadelphia Eagles
Year,Coach,Tm
1999,Dick Vermeil,St. Louis Rams
1998,Dan Reeves,Atlanta Falcons
1997,Jim Fassel,New York Giants
1996,Dom Capers,Carolina Panthers
1995,Ray Rhodes,Philadelphia Eagles
1994,George Seifert,San Francisco 49ers
1993,Dan Reeves,New York Giants
1992,Bill Cowher,Pittsburgh Steelers
1991,Joe Gibbs,Washington Redskins
1990,George Seifert,San Francisco 49ers
1989,Lindy Infante,Green Bay Packers
1988,Marv Levy,Buffalo Bills
1987,Jim Mora,New Orleans Saints
1986,Bill Parcells,New York Giants
1985,Mike Ditka,Chicago Bears
1984,Chuck Knox,Seattle Seahawks
1983,Joe Gibbs,Washington Redskins
1982,Joe Gibbs,Washington Redskins
1981,Bill Walsh,San Francisco 49ers
1980,Chuck Knox,Buffalo Bills
1979,Dick Vermeil,Philadelphia Eagles
1978,Jack Patera,Seattle Seahawks
1977,Red Miller,Denver Broncos
1976,Chuck Fairbanks,New England Patriots
1975,Ted Marchibroda,Baltimore Colts
Year,Coach,Tm
1974,Don Coryell,St. Louis Cardinals
1973,Chuck Knox,Los Angeles Rams
1972,Don Shula,Miami Dolphins
1971,George Allen,Washington Redskins
1970,Don Shula,Miami Dolphins
1969,Bud Grant,Minnesota Vikings
1968,Don Shula,Baltimore Colts
1967,George Allen,Los Angeles Rams
1966,Tom Landry,Dallas Cowboys
1966,Mike Holovak,Boston Patriots
1965,George Halas,Chicago Bears
1964,Don Shula,Baltimore Colts
1963,George Halas,Chicago Bears
1961,Vince Lombardi,Green Bay Packers
1956,Jim Lee Howell,New York Giants
1955,Joe Kuharich,Washington Redskins
1953,Paul Brown,Cleveland Browns
1952,Hampton Pool,Los Angeles Rams
1951,Paul Brown,Cleveland Browns
1950,Steve Owen,New York Giants
1949,Paul Brown,Cleveland Browns
1948,Greasy Neale,Philadelphia Eagles
1947,Jimmy Conzelman,Chicago Cardinals
