Year,Lg,Pos,Player,Tm
2024,NFL,RB,Saquon Barkley,Philadelphia Eagles
2023,NFL,QB,Lamar Jackson,Baltimore Ravens
2022,NFL,WR,Justin Jefferson,Minnesota Vikings
2021,NFL,RB,Jonathan Taylor,Indianapolis Colts
2020,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2019,NFL,QB,Lamar Jackson,Baltimore Ravens
2018,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2017,NFL,WR,Antonio Brown,Pittsburgh Steelers
2016,NFL,QB,Tom Brady,New England Patriots
2015,NFL,QB,Cam Newton,Carolina Panthers
2014,NFL,QB,Aaron Rodgers,Green Bay Packers
2013,NFL,QB,Peyton Manning,Denver Broncos
2012,NFL,RB,Adrian Peterson,Minnesota Vikings
2011,NFL,QB,Aaron Rodgers,Green Bay Packers
2010,NFL,QB,Tom Brady,New England Patriots
2009,NFL,QB,Drew Brees,New Orleans Saints
2008,NFL,QB,Drew Brees,New Orleans Saints
