Year,Lg,Conf,Pos,Player,Tm
2024,NFL,,QB,Jayden Daniels,Washington Commanders
2023,NFL,,WR,Puka Nacua,Los Angeles Rams
2022,NFL,,CB,Sauce Gardner,New York Jets
2021,NFL,,WR,Ja'Marr Chase,Cincinnati Bengals
2020,NFL,,WR,Justin Jefferson,Minnesota Vikings
2019,NFL,,DE,Nick Bosa,San Francisco 49ers
2018,NFL,,RB,Saquon Barkley,New York Giants
2017,NFL,,RB,Alvin Kamara,New Orleans Saints
2016,NFL,,RB,Ezekiel Elliott,Dallas Cowboys
2015,NFL,,RB,Todd Gurley,St. Louis Rams
2014,NFL,,WR,Odell Beckham Jr.,New York Giants
2013,NFL,,RB,Eddie Lacy,Green Bay Packers
2012,NFL,,QB,Robert Griffin III,Washington Redskins
2011,NFL,,QB,Cam Newton,Carolina Panthers
2010,NFL,,LDT,Ndamukong Suh,Detroit Lions
2009,NFL,,WR,Percy Harvin,Minnesota Vikings
2008,NFL,,QB,Matt Ryan,Atlanta Falcons
2007,NFL,,RB,Adrian Peterson,Minnesota Vikings
2006,NFL,,QB,Vince Young,Tennessee Titans
2005,NFL,,OLB,Shawne Merriman,San Diego Chargers
2004,NFL,,QB,Ben Roethlisberger,Pittsburgh Steelers
2003,NFL,,WR,Anquan Boldin,Arizona Cardinals
2002,NFL,,RB,Clinton Portis,Denver Broncos
2001,NFL,,RILB,Kendrell Bell,Pittsburgh Steelers
2000,NFL,,MLB,Brian Urlacher,Chicago Bears
Year,Lg,Conf,Pos,Player,Tm
1999,NFL,,RB,Edgerrin James,Indianapolis Colts
1998,NFL,,WR,Randy Moss,Minnesota Vikings
1997,NFL,,RB,Warrick Dunn,Tampa Bay Buccaneers
1996,NFL,,RB,Eddie George,Houston Oilers
1995,NFL,,RB,Curtis Martin,New England Patriots
1994,NFL,,RB,Marshall Faulk,Indianapolis Colts
1993,NFL,,RB,Jerome Bettis,Los Angeles Rams
1992,NFL,,RDT,Santana Dotson,Tampa Bay Buccaneers
1991,NFL,,LOLB,Mike Croel,Denver Broncos
1990,NFL,,LT,Richmond Webb,Miami Dolphins
1989,NFL,,RB,Barry Sanders,Detroit Lions
1988,NFL,,TE,Keith Jackson,Philadelphia Eagles
1987,NFL,,TE,Robert Awalt,St. Louis Cardinals
1986,NFL,,RB,Rueben Mayes,New Orleans Saints
1985,NFL,,WR,Eddie Brown,Cincinnati Bengals
1984,NFL,,WR,Louis Lipps,Pittsburgh Steelers
1983,NFL,,QB,Dan Marino,Miami Dolphins
1982,NFL,,RB,Marcus Allen,Los Angeles Raiders
1981,NFL,,RB,George Rogers,New Orleans Saints
1980,NFL,,RB,Billy Sims,Detroit Lions
1979,NFL,AFC,WR,Jerry Butler,Buffalo Bills
1979,NFL,NFC,RB,Ottis Anderson,St. Louis Cardinals
1978,NFL,AFC,RB,Earl Campbell,Houston Oilers
1978,NFL,NFC,RDE,Al Baker,Detroit Lions
1977,NFL,AFC,LILB,A.J. Duhe,Miami Dolphins
Year,Lg,Conf,Pos,Player,Tm
1977,NFL,NFC,RB,Tony Dorsett,Dallas Cowboys
1976,NFL,NFC,WR,Sammy White,Minnesota Vikings
1976,NFL,AFC,RCB,Mike Haynes,New England Patriots
1975,NFL,AFC,ROLB,Robert Brazile,Houston Oilers
1975,NFL,NFC,QB,Steve Bartkowski,Atlanta Falcons
1974,NFL,AFC,RB,Don Woods,San Diego Chargers
1974,NFL,NFC,RB,Wilbur Jackson,San Francisco 49ers
1973,NFL,NFC,RB,Chuck Foreman,Minnesota Vikings
1973,NFL,AFC,FB,Boobie Clark,Cincinnati Bengals
1972,NFL,NFC,K,Chester Marcol,Green Bay Packers
1972,NFL,AFC,FB,Franco Harris,Pittsburgh Steelers
1971,NFL,AFC,QB,Jim Plunkett,New England Patriots
1971,NFL,NFC,FB,John Brockington,Green Bay Packers
1970,NFL,NFC,RCB,Bruce Taylor,San Francisco 49ers
1970,NFL,AFC,QB,Dennis Shaw,Buffalo Bills
1969,NFL,,RB,Calvin Hill,Dallas Cowboys
1969,AFL,,QB,Greg Cook,Cincinnati Bengals
1968,NFL,,WR,Earl McCullouch,Detroit Lions
1968,AFL,,RB,Paul Robinson,Cincinnati Bengals
1967,NFL,,RB,Mel Farr,Detroit Lions
1967,AFL,,HB,Dickie Post,San Diego Chargers
1966,NFL,,MLB,Tommy Nobis,Atlanta Falcons
1966,AFL,,RB,Bobby Burnett,Buffalo Bills
1965,NFL,,HB,Gale Sayers,Chicago Bears
1965,AFL,,QB,Joe Namath,New York Jets
Year,Lg,Conf,Pos,Player,Tm
1964,NFL,,WR,Charley Taylor,Washington Redskins
1964,AFL,,FB,Matt Snell,New York Jets
1963,NFL,,WR,Paul Flatley,Minnesota Vikings
1963,AFL,,FB,Billy Joe,Denver Broncos
1962,NFL,,FB,Ronnie Bull,Chicago Bears
1962,AFL,,FB,Curtis McClinton,Dallas Texans
1961,NFL,,TE,Mike Ditka,Chicago Bears
1961,AFL,,LDE,Earl Faison,San Diego Chargers
1960,NFL,,SE,Gail Cogdill,Detroit Lions
1960,AFL,,HB,Abner Haynes,Dallas Texans
1959,NFL,,FB,Nick Pietrosante,Detroit Lions
1958,NFL,,FL,Bobby Mitchell,Cleveland Browns
1957,NFL,,FB,Jim Brown,Cleveland Browns
1956,NFL,,LCB,J.C. Caroline,Chicago Bears
1955,NFL,,FB,Alan Ameche,Baltimore Colts
