Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
AFC East,,,,,,,,
New England Patriots*,12,4,0,.750,468,313,155,9.7
Buffalo Bills,9,7,0,.563,343,289,54,3.4
Miami Dolphins,8,8,0,.500,388,373,15,0.9
New York Jets,4,12,0,.250,283,401,-118,-7.4
AFC North,,,,,,,,
Pittsburgh Steelers*,11,5,0,.688,436,368,68,4.3
Cincinnati Bengals+,10,5,1,.656,365,344,21,1.3
Baltimore Ravens+,10,6,0,.625,409,302,107,6.7
Cleveland Browns,7,9,0,.438,299,337,-38,-2.4
AFC South,,,,,,,,
Indianapolis Colts*,11,5,0,.688,458,369,89,5.6
Houston Texans,9,7,0,.563,372,307,65,4.1
Jacksonville Jaguars,3,13,0,.188,249,412,-163,-10.2
Tennessee Titans,2,14,0,.125,254,438,-184,-11.5
AFC West,,,,,,,,
Denver Broncos*,12,4,0,.750,482,354,128,8.0
Kansas City Chiefs,9,7,0,.563,353,281,72,4.5
San Diego Chargers,9,7,0,.563,348,348,0,0.0
Oakland Raiders,3,13,0,.188,253,452,-199,-12.4
