Rk,Tm,G,W,L,W-L%,PF,PA,PD,Starting QB(s)
1,Pittsburgh Steelers,8,6,2,.750,193,164,+29,"Terry Bradshaw (4-0), Neil O'Donnell (0-1), Ben Roethlisberger (2-1)"
2,New England Patriots,11,6,5,.545,246,282,-36,"Drew Bledsoe (0-1), Tom Brady (6-3), Tony Eason (0-1)"
3,San Francisco 49ers,8,5,3,.625,261,179,+82,"Jimmy Garoppolo (0-1), Colin Kaepernick (0-1), Joe Montana (4-0), Brock Purdy (0-1), Steve Young (1-0)"
4,Dallas Cowboys,8,5,3,.625,221,132,+89,"Troy Aikman (3-0), Craig Morton (0-1), Roger Staubach (2-2)"
5,New York Giants,5,4,1,.800,104,104,0,"Kerry Collins (0-1), Jeff Hostetler (1-0), Eli Manning (2-0), Phil Simms (1-0)"
6,Green Bay Packers,5,4,1,.800,158,101,+57,"Brett Favre (1-1), Aaron Rodgers (1-0), Bart Starr (2-0)"
7,Kansas City Chiefs,7,4,3,.571,158,190,-32,"Len Dawson (1-1), Patrick Mahomes (3-2)"
8,Washington Commanders,5,3,2,.600,122,103,+19,"Billy Kilmer (0-1), Mark Rypien (1-0), Joe Theismann (1-1), Doug Williams (1-0)"
9,Las Vegas Raiders,5,3,2,.600,132,114,+18,"Rich Gannon (0-1), Daryle Lamonica (0-1), Jim Plunkett (2-0), Ken Stabler (1-0)"
10,Denver Broncos,8,3,5,.375,147,259,-112,"John Elway (2-3), Peyton Manning (1-1), Craig Morton (0-1)"
11,Tampa Bay Buccaneers,2,2,0,1.000,79,30,+49,"Tom Brady (1-0), Brad Johnson (1-0)"
12,Baltimore Ravens,2,2,0,1.000,68,38,+30,"Trent Dilfer (1-0), Joe Flacco (1-0)"
13,Indianapolis Colts,4,2,2,.500,69,77,-8,"Peyton Manning (1-1), Earl Morrall (0-1), Johnny Unitas (1-0)"
14,Miami Dolphins,5,2,3,.400,74,103,-29,"Bob Griese (2-1), Dan Marino (0-1), David Woodley (0-1)"
15,Philadelphia Eagles,5,2,3,.400,147,144,+3,"Nick Foles (1-0), Jalen Hurts (1-1), Ron Jaworski (0-1), Donovan McNabb (0-1)"
16,Los Angeles Rams,5,2,3,.400,85,100,-15,"Vince Ferragamo (0-1), Jared Goff (0-1), Matthew Stafford (1-0), Kurt Warner (1-1)"
17,New Orleans Saints,1,1,0,1.000,31,17,+14,Drew Brees (1-0)
18,New York Jets,1,1,0,1.000,16,7,+9,Joe Namath (1-0)
19,Chicago Bears,2,1,1,.500,63,39,+24,"Rex Grossman (0-1), Jim McMahon (1-0)"
20,Seattle Seahawks,3,1,2,.333,77,57,+20,"Matt Hasselbeck (0-1), Russell Wilson (1-1)"
21,Minnesota Vikings,4,0,4,.000,34,95,-61,"Joe Kapp (0-1), Fran Tarkenton (0-3)"
22,Buffalo Bills,4,0,4,.000,73,139,-66,Jim Kelly (0-4)
23,Cincinnati Bengals,3,0,3,.000,57,69,-12,"Ken Anderson (0-1), Joe Burrow (0-1), Boomer Esiason (0-1)"
24,Atlanta Falcons,2,0,2,.000,47,68,-21,"Chris Chandler (0-1), Matt Ryan (0-1)"
25,Carolina Panthers,2,0,2,.000,39,56,-17,"Jake Delhomme (0-1), Cam Newton (0-1)"
26,Los Angeles Chargers,1,0,1,.000,26,49,-23,Stan Humphries (0-1)
27,Tennessee Titans,1,0,1,.000,16,23,-7,Steve McNair (0-1)
28,Arizona Cardinals,1,0,1,.000,23,27,-4,Kurt Warner (0-1)
