Year,Lg,Pos,Player,Tm
2024,NFL,QB,Jalen Hurts,Philadelphia Eagles
2023,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2022,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2021,NFL,WR,Cooper Kupp,Los Angeles Rams
2020,NFL,QB,Tom Brady,Tampa Bay Buccaneers
2019,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2018,NFL,WR,Julian Edelman,New England Patriots
2017,NFL,QB,Nick Foles,Philadelphia Eagles
2016,NFL,QB,Tom Brady,New England Patriots
2015,NFL,OLB,Von Miller,Denver Broncos
2014,NFL,QB,Tom Brady,New England Patriots
2013,NFL,MLB,Malcolm Smith,Seattle Seahawks
2012,NFL,QB,Joe Flacco,Baltimore Ravens
2011,NFL,QB,Eli Manning,New York Giants
2010,NFL,QB,Aaron Rodgers,Green Bay Packers
2009,NFL,QB,Drew Brees,New Orleans Saints
2008,NFL,WR,Santonio Holmes,Pittsburgh Steelers
2007,NFL,QB,Eli Manning,New York Giants
2006,NFL,QB,Peyton Manning,Indianapolis Colts
2005,NFL,WR,Hines Ward,Pittsburgh Steelers
2004,NFL,WR,Deion Branch,New England Patriots
2003,NFL,QB,Tom Brady,New England Patriots
2002,NFL,FS,Dexter Jackson,Tampa Bay Buccaneers
2001,NFL,QB,Tom Brady,New England Patriots
2000,NFL,MLB,Ray Lewis,Baltimore Ravens
Year,Lg,Pos,Player,Tm
1999,NFL,QB,Kurt Warner,St. Louis Rams
1998,NFL,QB,John Elway,Denver Broncos
1997,NFL,RB,Terrell Davis,Denver Broncos
1996,NFL,WR,Desmond Howard,Green Bay Packers
1995,NFL,RCB,Larry Brown,Dallas Cowboys
1994,NFL,QB,Steve Young,San Francisco 49ers
1993,NFL,RB,Emmitt Smith,Dallas Cowboys
1992,NFL,QB,Troy Aikman,Dallas Cowboys
1991,NFL,QB,Mark Rypien,Washington Redskins
1990,NFL,RB,Ottis Anderson,New York Giants
1989,NFL,QB,Joe Montana,San Francisco 49ers
1988,NFL,WR,Jerry Rice,San Francisco 49ers
1987,NFL,QB,Doug Williams,Washington Redskins
1986,NFL,QB,Phil Simms,New York Giants
1985,NFL,RDE,Richard Dent,Chicago Bears
1984,NFL,QB,Joe Montana,San Francisco 49ers
1983,NFL,RB,Marcus Allen,Los Angeles Raiders
1982,NFL,FB,John Riggins,Washington Redskins
1981,NFL,QB,Joe Montana,San Francisco 49ers
1980,NFL,QB,Jim Plunkett,Oakland Raiders
1979,NFL,QB,Terry Bradshaw,Pittsburgh Steelers
1978,NFL,QB,Terry Bradshaw,Pittsburgh Steelers
1977,NFL,RDT,Randy White,Dallas Cowboys
1977,NFL,RDE,Harvey Martin,Dallas Cowboys
1976,NFL,WR,Fred Biletnikoff,Oakland Raiders
Year,Lg,Pos,Player,Tm
1975,NFL,WR,Lynn Swann,Pittsburgh Steelers
1974,NFL,FB,Franco Harris,Pittsburgh Steelers
1973,NFL,FB,Larry Csonka,Miami Dolphins
1972,NFL,FS,Jake Scott,Miami Dolphins
1971,NFL,QB,Roger Staubach,Dallas Cowboys
1970,NFL,LLB,Chuck Howley,Dallas Cowboys
1969,AFL,QB,Len Dawson,Kansas City Chiefs
1968,AFL,QB,Joe Namath,New York Jets
1967,NFL,QB,Bart Starr,Green Bay Packers
1966,NFL,QB,Bart Starr,Green Bay Packers
