Player,From,To,AV
Tony Adams,1987,1987,2
Kyle Allen,2018,2019,8
Neely Allison,1926,1926,
Morten Andersen,1982,2004,59
Zenon Andrusyshyn,1978,1978,3
Elmer Angsman,1946,1952,
Elmer Arterburn,1954,1954,
Cliff Ashburn,1929,1929,
Tavon Austin,2021,2021,1
Bob Avellini,1975,1984,30
Frank Bacon,1924,1924,
Jake Bailey,2019,2022,7
Jason Baker,2001,2011,19
Ben Barber,1925,1925,
John Barrett,1924,1928,
Shaquil Barrett,2023,2023,8
Marv Bateman,1974,1977,11
Rashod Bateman,2022,2024,15
Charlie Baumann,1991,1991,1
Bull Behman,1924,1924,
Eddie Bell,1970,1976,23
Guy Benjamin,1978,1983,1
Steve Beuerlein,1988,2000,80
Michael Bishop,2000,2000,0
Corey Bojorquez,2021,2021,2
Player,From,To,AV
Kyle Boller,2004,2011,16
Lynn Bomar,1925,1926,
Barry Bowman,1987,1987,0
Tim Boyle,2023,2023,1
Sam Bradford,2015,2015,8
Jacoby Brissett,2016,2024,33
Maury Buford,1982,1984,7
Harrison Butker,2017,2024,29
Sol Butler,1926,1926,
Daniel Carlson,2018,2018,-1
Jeff Carlson,1990,1991,1
Virgil Carter,1975,1975,0
Matt Cassel,2009,2012,25
Chandler Catanzaro,2014,2018,12
Greg Cater,1980,1983,6
Dutch Clark,1934,1938,
Chuck Clements,1997,1997,0
Jadeveon Clowney,2024,2024,5
Reggie Collier,1987,1987,0
Billy Cundiff,2009,2011,5
Randall Cunningham,1997,2000,30
Richie Cunningham,2002,2002,0
Chase Daniel,2021,2021,0
Rick Danmeier,1977,1982,15
Red Daum,1925,1926,
Player,From,To,AV
Austin Davis,2015,2015,1
Greg Davis,1997,1998,3
Billy Dewell,1940,1940,
Trevon Diggs,2021,2024,29
Ben DiNucci,2020,2020,1
Ken Dorsey,2004,2005,1
Red Dunn,1930,1930,
Jug Earp,1925,1926,
Mike Edwards,2024,2024,
Dick Egan,1920,1923,
John Elway,1983,1998,206
Ox Emerson,1931,1932,
Craig Erickson,1992,1997,22
Paul Ernster,2007,2007,0
Boomer Esiason,1984,1997,137
Gerald Everett,2022,2023,8
Ka'imi Fairbairn,2017,2022,18
A.J. Feeley,2004,2004,1
John Filak,1927,1927,
Jim Finks,1950,1955,
Paul Flinn,1923,1923,
Jim Flower,1923,1923,
Doug Flutie,1998,2004,53
Nick Foles,2019,2019,2
D'Onta Foreman,2021,2021,5
Player,From,To,AV
Leonard Fournette,2021,2022,16
Kristian Fulton,2024,2024,5
Blaine Gabbert,2017,2018,4
Jeff Garcia,2006,2008,23
Teddy Garcia,1988,1988,-1
Dan Garza,1951,1951,
Matt Gay,2023,2024,5
Bill Geyer,1942,1942,
Gale Gilbert,1985,1993,3
Jamie Gillan,2019,2021,4
Mike Glennon,2018,2019,0
Ed Goddard,1937,1937,
Charlie Gogolak,1970,1972,6
Pete Gonzalez,1999,1999,0
Dick Gordon,1973,1973,0
Jeff Gossett,1981,1996,24
Bruce Gradkowski,2006,2012,2
Al Graham,1925,1925,
Ben Graham,2005,2008,7
Bill Gramatica,2001,2003,7
Martin Gramatica,1999,2006,18
Ducky Grant,1928,1928,
Tony Graziani,1999,1999,2
Grant Guthrie,1970,1971,3
Matt Gutierrez,2007,2007,0
Player,From,To,AV
Swede Hagberg,1929,1929,
George Halas,1920,1928,
