Year,Lg,Pos,Player,Tm
2024,NFL,DE,Arik Armstead,Jacksonville Jaguars
2023,NFL,DT,Cameron Heyward,Pittsburgh Steelers
2022,NFL,QB,Dak Prescott,Dallas Cowboys
2021,NFL,LT,Andrew Whitworth,Los Angeles Rams
2020,NFL,QB,Russell Wilson,Seattle Seahawks
2019,NFL,LDE,Calais Campbell,Jacksonville Jaguars
2018,NFL,DE,Chris Long,Philadelphia Eagles
2017,NFL,DE,J.J. Watt,Houston Texans
2016,NFL,QB,Eli Manning,New York Giants
2016,NFL,WR,Larry Fitzgerald,Arizona Cardinals
2015,NFL,WR,Anquan Boldin,San Francisco 49ers
2014,NFL,OLB,Thomas Davis,Carolina Panthers
2013,NFL,LCB,Charles Tillman,Chicago Bears
2012,NFL,TE,Jason Witten,Dallas Cowboys
2011,NFL,C,Matt Birk,Baltimore Ravens
2010,NFL,FS,Madieu Williams,Minnesota Vikings
2009,NFL,LG,Brian Waters,Kansas City Chiefs
2008,NFL,QB,Kurt Warner,Arizona Cardinals
2007,NFL,RDE,Jason Taylor,Miami Dolphins
2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers
2006,NFL,QB,Drew Brees,New Orleans Saints
2005,NFL,QB,Peyton Manning,Indianapolis Colts
2004,NFL,RB,Warrick Dunn,Atlanta Falcons
2003,NFL,RG,Will Shields,Kansas City Chiefs
2002,NFL,LCB,Troy Vincent,Philadelphia Eagles
Year,Lg,Pos,Player,Tm
2001,NFL,RB,Jerome Bettis,Pittsburgh Steelers
2000,NFL,LDT,Jim Flanigan,Chicago Bears
2000,NFL,RLB,Derrick Brooks,Tampa Bay Buccaneers
1999,NFL,WR,Cris Carter,Minnesota Vikings
1998,NFL,QB,Dan Marino,Miami Dolphins
1997,NFL,QB,Troy Aikman,Dallas Cowboys
1996,NFL,RCB,Darrell Green,Washington Redskins
1995,NFL,QB,Boomer Esiason,New York Jets
1994,NFL,RLB,Junior Seau,San Diego Chargers
1993,NFL,ROLB,Derrick Thomas,Kansas City Chiefs
1992,NFL,QB,John Elway,Denver Broncos
1991,NFL,LT,Anthony Munoz,Cincinnati Bengals
1990,NFL,MLB,Mike Singletary,Chicago Bears
1989,NFL,QB,Warren Moon,Houston Oilers
1988,NFL,WR,Steve Largent,Seattle Seahawks
1987,NFL,DB,Dave Duerson,Chicago Bears
1986,NFL,ROLB,Reggie Williams,Cincinnati Bengals
1985,NFL,C,Dwight Stephenson,Miami Dolphins
1984,NFL,RDT,Marty Lyons,New York Jets
1983,NFL,K,Rolf Benirschke,San Diego Chargers
1982,NFL,QB,Joe Theismann,Washington Redskins
1981,NFL,WR,Lynn Swann,Pittsburgh Steelers
1980,NFL,WR,Harold Carmichael,Philadelphia Eagles
1979,NFL,LDT,Joe Greene,Pittsburgh Steelers
1978,NFL,QB,Roger Staubach,Dallas Cowboys
Year,Lg,Pos,Player,Tm
1977,NFL,RB,Walter Payton,Chicago Bears
1976,NFL,FB,Franco Harris,Pittsburgh Steelers
1975,NFL,QB,Ken Anderson,Cincinnati Bengals
1974,NFL,QB,George Blanda,Oakland Raiders
1973,NFL,QB,Len Dawson,Kansas City Chiefs
1972,NFL,MLB,Willie Lanier,Kansas City Chiefs
1971,NFL,QB,John Hadl,San Diego Chargers
1970,NFL,QB,Johnny Unitas,Baltimore Colts
